,,,,,,
Arena Matchings,,,,,,
,,,,,,
game_version,end_time,date,character,card_title,wins,player_id
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Questing Adventurer,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Questing Adventurer,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Spawn of N'Zoth,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Shadowflame,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Arcane Nullifier X 21,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Lost Tallstrider,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Silvermoon Guardian,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Spellbreaker,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Azure Drake,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Pit Fighter,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Salty Dog,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Silver Hand Knight,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Sludge Belcher,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Lord of the Arena,0,1
5.0.0.12574,11:26 PM,5/4/2016,Warlock,Bog Creeper,0,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Tentacle of N'Zoth,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Worgen Infiltrator,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Zealous Initiate,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Zombie Chow,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Boneguard Lieutenant,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Crazed Alchemist,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Dark Peddler,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Huge Toad,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Lance Carrier,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Shadow Bolt,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Harvest Golem,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Questing Adventurer,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Scarlet Crusader,1,1
5.0.0.12574,11:48 AM,5/6/2016,Warlock,Imp-losion,1,1
